"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","eye tracking             ","74","information     ","40"
"2","eye-tracking             ","65","attention       ","32"
"3","attention                ","24","visual-attention","32"
"4","visual attention         ","14","eye-tracking    ","29"
"5","e-commerce               "," 9","model           ","28"
"6","neuromarketing           "," 9","behavior        ","26"
"7","advertising              "," 6","decision-making ","24"
"8","usability                "," 6","advertisements  ","20"
"9","visual                   "," 6","eye-movements   ","19"
"10","advertising effectiveness"," 5","impact          ","19"
