"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","mobile games       ","42","education   ","8"
"2","mobile game        ","12","online games","7"
"3","serious games      ","12","addiction   ","6"
"4","mobile learning    ","10","behavior    ","6"
"5","games              "," 9","design      ","6"
"6","mobile             "," 8","technology  ","6"
"7","gamification       "," 6","health      ","5"
"8","game               "," 5","motivation  ","5"
"9","game design        "," 5","play        ","5"
"10","mobile media       "," 5","students    ","5"
"11","children           "," 4","adolescents ","4"
"12","design             "," 4","adoption    ","4"
"13","educational games  "," 4","children    ","4"
"14","game-based learning"," 4","classroom   ","4"
"15","health             "," 4","engagement  ","4"
