Tipo,Unidades
Centros,Facultad de Ciencias Económicas y Empresariales (FCCEE); Facultad de Ciencias Humanas y Sociales (FHHSS); Facultad de Ciencias Jurídicas (FCJ); Facultad de Ciencias de la Salud (FCS); Escuela Técnica de Ingenieros Agrónomos (ETSIA); Escuela Técnica Superior de Ingenieros Industriales y de Telecomunicación (ETSIIT)
Departamentos,"Agronomía, Biotecnología y Alimentación; Ciencias; Ciencias de la Salud; Ciencias Humanas y de la Educación; Derecho; Economía; Estadística, Informática y Matemáticas; Gestión de Empresas; Ingeniería; Ingeniería Eléctrica, Electrónica y de Comunicación; Sociología y Trabajo Social"
